dynasty,period,book_name,author,full_book_info,variant,count,total_chars,frequency_per_10k,file_count,recalc_freq_per_10k
元初期,元代,大丹直指,丘處機,大丹直指 (丘處機),們,0,9747,0.0,3,0.0
元初期,元代,大丹直指,丘處機,大丹直指 (丘處機),偉,0,9747,0.0,3,0.0
元初期,元代,大丹直指,丘處機,大丹直指 (丘處機),弭,0,9747,0.0,3,0.0
元初期,元代,大丹直指,丘處機,大丹直指 (丘處機),彌,0,9747,0.0,3,0.0
元初期,元代,大丹直指,丘處機,大丹直指 (丘處機),懣,0,9747,0.0,3,0.0
元初期,元代,大丹直指,丘處機,大丹直指 (丘處機),每,0,9747,0.0,3,0.0
元初期,元代,大丹直指,丘處機,大丹直指 (丘處機),滿,1,9747,0.9147457006952068,3,1.0259567046270648
元初期,元代,大丹直指,丘處機,大丹直指 (丘處機),瞞,0,9747,0.0,3,0.0
元初期,元代,大丹直指,丘處機,大丹直指 (丘處機),輩,0,9747,0.0,3,0.0
元初期,元代,大丹直指,丘處機,大丹直指 (丘處機),門,5,9747,3.46802982511645,3,5.129783523135324
元初期,元代,太上洞真凝神修行經訣,元初期,太上洞真凝神修行經訣 (元初期),們,0,1224,0.0,1,0.0
元初期,元代,太上洞真凝神修行經訣,元初期,太上洞真凝神修行經訣 (元初期),偉,0,1224,0.0,1,0.0
元初期,元代,太上洞真凝神修行經訣,元初期,太上洞真凝神修行經訣 (元初期),弭,0,1224,0.0,1,0.0
元初期,元代,太上洞真凝神修行經訣,元初期,太上洞真凝神修行經訣 (元初期),彌,0,1224,0.0,1,0.0
元初期,元代,太上洞真凝神修行經訣,元初期,太上洞真凝神修行經訣 (元初期),懣,0,1224,0.0,1,0.0
元初期,元代,太上洞真凝神修行經訣,元初期,太上洞真凝神修行經訣 (元初期),每,0,1224,0.0,1,0.0
元初期,元代,太上洞真凝神修行經訣,元初期,太上洞真凝神修行經訣 (元初期),滿,0,1224,0.0,1,0.0
元初期,元代,太上洞真凝神修行經訣,元初期,太上洞真凝神修行經訣 (元初期),瞞,0,1224,0.0,1,0.0
元初期,元代,太上洞真凝神修行經訣,元初期,太上洞真凝神修行經訣 (元初期),輩,0,1224,0.0,1,0.0
元初期,元代,太上洞真凝神修行經訣,元初期,太上洞真凝神修行經訣 (元初期),門,0,1224,0.0,1,0.0
元初期,元代,道德真經衍義手鈔,王守正,道德真經衍義手鈔 (王守正),們,0,66323,0.0,21,0.0
元初期,元代,道德真經衍義手鈔,王守正,道德真經衍義手鈔 (王守正),偉,0,66323,0.0,21,0.0
元初期,元代,道德真經衍義手鈔,王守正,道德真經衍義手鈔 (王守正),弭,0,66323,0.0,21,0.0
元初期,元代,道德真經衍義手鈔,王守正,道德真經衍義手鈔 (王守正),彌,2,66323,0.2481515926891286,21,0.3015545135171811
元初期,元代,道德真經衍義手鈔,王守正,道德真經衍義手鈔 (王守正),懣,0,66323,0.0,21,0.0
元初期,元代,道德真經衍義手鈔,王守正,道德真經衍義手鈔 (王守正),每,2,66323,0.28048525986322964,21,0.3015545135171811
元初期,元代,道德真經衍義手鈔,王守正,道德真經衍義手鈔 (王守正),滿,3,66323,0.3652496723140962,21,0.4523317702757716
元初期,元代,道德真經衍義手鈔,王守正,道德真經衍義手鈔 (王守正),瞞,0,66323,0.0,21,0.0
元初期,元代,道德真經衍義手鈔,王守正,道德真經衍義手鈔 (王守正),輩,5,66323,0.591267341064706,21,0.7538862837929527
元初期,元代,道德真經衍義手鈔,王守正,道德真經衍義手鈔 (王守正),門,23,66323,2.6822030008734976,21,3.467876905447582
元初期,元代,養生祕錄,元初期,養生祕錄 (元初期),們,0,9862,0.0,1,0.0
元初期,元代,養生祕錄,元初期,養生祕錄 (元初期),偉,0,9862,0.0,1,0.0
元初期,元代,養生祕錄,元初期,養生祕錄 (元初期),弭,0,9862,0.0,1,0.0
元初期,元代,養生祕錄,元初期,養生祕錄 (元初期),彌,0,9862,0.0,1,0.0
元初期,元代,養生祕錄,元初期,養生祕錄 (元初期),懣,0,9862,0.0,1,0.0
元初期,元代,養生祕錄,元初期,養生祕錄 (元初期),每,0,9862,0.0,1,0.0
元初期,元代,養生祕錄,元初期,養生祕錄 (元初期),滿,3,9862,3.041979314540661,1,3.041979314540661
元初期,元代,養生祕錄,元初期,養生祕錄 (元初期),瞞,0,9862,0.0,1,0.0
元初期,元代,養生祕錄,元初期,養生祕錄 (元初期),輩,0,9862,0.0,1,0.0
元初期,元代,養生祕錄,元初期,養生祕錄 (元初期),門,6,9862,6.083958629081322,1,6.083958629081322
