variant,type,character,count
弭,preceding,),69
弭,preceding,哩,22
弭,preceding,膩,18
弭,preceding,裏,15
弭,preceding,陀,10
弭,following,膩,41
弭,following,哩,31
弭,following,裏,23
弭,following,(,17
弭,following,儞,14
彌,preceding,*,220
彌,preceding,沙,210
彌,preceding,須,132
彌,preceding,阿,128
彌,preceding,(,102
彌,following,勒,572
彌,following,陀,206
彌,following,沙,73
彌,following,經,56
彌,following,藏,38
偉,preceding,王,5
偉,preceding,。,5
偉,preceding,而,3
偉,preceding,見,3
偉,preceding,季,2
偉,following,哉,4
偉,following,。,4
偉,following,之,3
偉,following,生,2
偉,following,大,2
懣,preceding,憤,1
懣,preceding,則,1
懣,preceding,。,1
懣,preceding,散,1
懣,preceding,煩,1
懣,following,。,2
懣,following,棃,1
懣,following,而,1
懣,following,愁,1
懣,following,滿,1
滿,preceding,圓,544
滿,preceding,。,67
滿,preceding,充,62
滿,preceding,遍,60
滿,preceding,成,55
滿,following,。,255
滿,following,足,113
滿,following,願,63
滿,following,一,61
滿,following,十,60
瞞,preceding,曹,2
瞞,preceding,鄋,1
瞞,preceding,欺,1
瞞,following,有,1
瞞,following,長,1
瞞,following,簒,1
瞞,following,君,1
門,preceding,沙,5454
門,preceding,羅,609
門,preceding,黃,526
門,preceding,法,512
門,preceding,理,439
門,following,外,1223
門,following,釋,884
門,following,。,685
門,following,之,528
門,following,侍,488
每,preceding,。,182
每,preceding,(,67
每,preceding,南,65
每,preceding,俱,44
每,preceding,後,35
每,following,等,171
每,following,日,53
每,following,至,49
每,following,坐,48
每,following,/,32
輩,preceding,四,52
輩,preceding,之,30
輩,preceding,三,12
輩,preceding,六,8
輩,preceding,此,7
輩,following,經,33
輩,following,。,21
輩,following,灌,9
輩,following,弟,9
輩,following,學,9
