variant,total_count,percentage_of_total,frequency_per_10k_chars,average_frequency_across_files,files_found_in,most_common_preceding,most_common_following,total_contexts
們,0,0.0,0.0,0.0,9,,,0
偉,0,0.0,0.0,0.0,9,,,0
弭,0,0.0,0.0,0.0,9,,,0
彌,1,2.2222222222222223,0.29559562518474725,0.24159841511439684,9,天 (2),地 (2),9
懣,0,0.0,0.0,0.0,9,,,0
每,3,6.666666666666667,0.8867868755542418,0.7247952453431905,9,者 (2),至 (2),5
滿,4,8.88888888888889,1.182382500738989,1.0740367016284285,9,圎 (2),者 (1),5
瞞,0,0.0,0.0,0.0,9,,,0
輩,3,6.666666666666667,0.8867868755542418,0.7866640458291213,9,四 (3),施 (2),6
門,34,75.55555555555556,10.050251256281408,7.885712347729967,9,家 (10),戸 (8),66
